ticker
ABVX
AFRM
AS
APG
APP
ARGX
ASND
ALAB
AXON
BE
BBIO
CRS
CVNA
CAVA
CELH
LNG
CRCL
NET
COGT
FIX
CR
CW
DDOG
DECK
DASH
EME
EVR
FN
FIG
FTAI
GH
HLT
HWM
IEX
IDXX
INSM
IBKR
KRMN
KTOS
LHX
LSCC
LYV
LITE
MDGL
MTZ
MELI
MRCY
MIRM
MOD
MPWR
NDAQ
NTRA
NXT
NVMI
PIPR
PL
PWR
RJF
RBC
RDDT
RKT
ROST
RCL
SNDK
SN
SNOW
TTWO
TEL
FTI
TER
TERN
TKO
TW
TTMI
UTI
VRT
VIK
WWD
XPO
